Member_Id	Percent_of_customers	Percent_of_Total_Running_Sum_of_P_Q	P_Q
2400440	0.000128041	2.892539517%	5160000
17871662	0.000256082	4.151173152%	2245276
14685763	0.000384123	5.198836950%	1868927
17719417	0.000512164	5.841249796%	1146000
14255682	0.000640205	6.449231332%	1084578
17407874	0.000768246	6.889760616%	785860
11521175	0.000896287	7.302323639%	735971
17797544	0.001024328	7.692480132%	696000
13823048	0.001152369	8.030884833%	603680
16574617	0.001280410	8.355734959%	579500
8801859	0.001408451	8.666851128%	555000
15651146	0.001536492	8.958208337%	519752
14875891	0.001664533	9.224916176%	475780
14114293	0.001792574	9.488714659%	470590
8965993	0.001920615	9.747978133%	462500
17966392	0.002048656	9.990424517%	432500
4661478	0.002176697	10.232870901%	432500
10613795	0.002304738	10.459901619%	405000
9941836	0.002432778	10.677963222%	389000
17659016	0.002560819	10.893558318%	384600
17765863	0.002688860	11.101137269%	370300
8030151	0.002816901	11.306978453%	367200
1374383	0.002944942	11.511474270%	364800
15213287	0.003072983	11.702987293%	341640
9578324	0.003201024	11.893782787%	340360
17405238	0.003329065	12.083703793%	338800
17703674	0.003457106	12.271718861%	335400
14685768	0.003585147	12.459303412%	334632
7194214	0.003713188	12.646304971%	333592
17674980	0.003841229	12.831965647%	331200
6494840	0.003969270	13.012917538%	322800
17877286	0.004097311	13.192290864%	319984
14685764	0.004225352	13.371150709%	319068
17240137	0.004353393	13.545719953%	311414
11965403	0.004481434	13.717254273%	306000
1126425	0.004609475	13.885416767%	299985
3504474	0.004737516	14.049100870%	291996
5436212	0.004865557	14.212784972%	291996
7960877	0.004993598	14.375969046%	291104
7210749	0.005121639	14.538534252%	290000
15645044	0.005249680	14.700913348%	289668
16465153	0.005377721	14.860115135%	284000
7208062	0.005505762	15.015271852%	276784
10727070	0.005633803	15.170230127%	276430
2977510	0.005761844	15.322424793%	271500
18040325	0.005889885	15.473778605%	270000
17942430	0.006017926	15.623383440%	266880
17663316	0.006145967	15.772320636%	265689
6662450	0.006274008	15.921151884%	265500
17719640	0.006402049	16.067965082%	261900
16981393	0.006530090	16.213937425%	260400
12072033	0.006658131	16.358564401%	258000
1798379	0.006786172	16.499435560%	251300
6821768	0.006914213	16.640306719%	251300
10228306	0.007042254	16.780393080%	249900
17794651	0.007170294	16.920255214%	249500
10516127	0.007298335	17.058322964%	246299
11075668	0.007426376	17.194515048%	242953
9848332	0.007554417	17.330285023%	242200
8679966	0.007682458	17.465936157%	241988
4672524	0.007810499	17.599137602%	237618
17859274	0.007938540	17.730815418%	234900
